nombre,tamano,precio
Adentium (rosa de desierto),Maceta|6 Pulgadas,75.81808
Alamanda  (Mandevilla),Maceta|7 Pulgadas,65.8981024
Alcatraz ,Bolsa|6 Litros,98.10112
Alemanda ( Diplademia)  ,Maceta|7 Pulgadas,65.8981024
Amaranta ,Maceta|6 Pulgadas,36.7781024
Anturio ,Maceta|7 Pulgadas,233.3381024
Aralia (ciboldo),Bolsa|10 Litros,98.10112
Aralia capela ,Maceta|10 Pulgadas,109.5781024
Árbol  Capulín  ,BOLSA|10 Litros,258.26112
Aretillo ,Maceta|7 Pulgadas,44.0581024
Aretillo Colgate ,Maceta|10 Pulgadas,58.6181024
Arrayan ,Bolsa|12 Litros,95.18912
Azalea,Bolsa|6 Litros,76.26112
Azalea Holand,Maceta|6 Pulgadas,58.6181024
Bandera (muelita),Bolsa|6 Litros,83.54112
Bignonia Rosa ,Bolsa|12 Litros,98.10112
Bugambilia ,Bolsa|8 Litros,83.54112
Caladium,Maceta|6 Pulgadas,62.9861024
CAMELIA ,Bolsa|12 Litros,76.26112
Carispa  (granada ),BOLSA|12 Litros,134.50112
Celosía ,Maceta|6 Pulgadas,36.7781024
Celosía Mana de oso ,Maceta|6 Pulgadas,36.7781024
Ciprés Italiano,BOLSA|10 Litros,141.78112
Clavo,Bolsa|8 Litros,71.89312
Clsus Antartico,Bolsa|8 Litros,76.26112
Clsus silvestitre,Bolsa|10 Litros,83.54112
Corazón de león  (capa de oro),Bolsa|10 Litros,83.54112
Corazón de María ,Maceta|6 Pulgadas,51.3381024
Crisantemo,Maceta|6 Pulgadas,40.8813808
Croto ,Maceta|6 Pulgadas,73.1781024
Croto Petra ,Maceta|6 Pulgadas,47.2726592
Croto Tornillo ,Maceta|6 Pulgadas,58.6181024
Cuna de Moisés  “6 p” ,Maceta|6 Pulgadas,56.0086592
Durante Gold,Maceta|6 Pulgadas,33.5446592
Esparrago,Bolsa|8 Litros,61.70112
Esparrago Cola de Zorra,Maceta|8 Pulgadas,58.6181024
Eugenia,Bolsa|12 Litros,127.22112
Fornio Phormium fenax,Bolsa|10 Litros,112.66112
Hecho Esparrago ,Maceta|6 Pulgadas,80.4581024
Helecho (chino),Maceta|8 Pulgadas,73.1781024
Helecho Boston (Colgante),Maceta|10 Pulgadas,87.7381024
Higo,BOLSA|12 Litros,134.50112
Hortensia ,Maceta|7 Pulgadas,80.4581024
Jacaranda,BOLSA|6 Litros,55.87712
Jazmín Español,Bolsa|10 Litros,76.26112
Jazmín Estrella ,Bolsa|8 Litros,83.54112
Jazmín Madre selva ,Bolsa|10 Litros,64.61312
Junípero  Horizontalis,Bolsa|8 Litros,57.33312
Junípero Chinenasis,Bolsa|8 Litros,57.33312
Junípero Común,Bolsa|8 Litros,76.26112
Kalanchoe ,Maceta|6 Pulgadas,36.8253808
Kalanchoe  Blossfeldiana,Maceta|6 Pulgadas,44.0581024
Laurel de la India,BOLSA|12 Litros,141.78112
Liquidanbar,BOLSA|10 Litros,258.26112
Lirio ,Bolsa|6 Litros,54.42112
Llamarada ,Bolsa|8 Litros,76.26112
Malbón,Maceta|7 Pulgadas,39.6901024
Margarita (Elías),Maceta|6 Pulgadas,39.6901024
Moneda ,Maceta|11 Pulgadas,22.2181024
Níspero,BOLSA|8 Litros,61.70112
Orquídea ,Maceta|6 Pulgadas,269.7381024
Orquídea de vara,Maceta|6 Pulgadas,228.2326592
Orquídea Phalaenosis,Maceta|6 Pulgadas,327.9781024
Palma  Camedor  (hoja ancha  ),Bolsa|4 Litros,80.62912
Palma Abanico,Bolsa|18 Litros,112.66112
Palma Areka,BOLSA|14 Litros,83.54112
Palma Comedor,Maceta|6 Litros,48.4261024
Palo de Brasil,Maceta|10 Pulgadas,182.3781024
Pampa Grass,Bolsa|12 Litros,127.22112
Papiro Cyperus Papyrus,Bolsa|10 Litros,83.54112
Pasto Listón (colgante ),Maceta|10 Pulgadas,65.8981024
Pata de Elafante,Maceta|3 Pulgadas,48.4261024
Pata de Elefante,Maceta|5 Pulgadas,39.6901024
Pata de Elefante ,Maceta|4 Pulgadas,58.6181024
Petunias (Geranio),Maceta|7 Pulgadas,36.7781024
Sedum (garra de león),Maceta|6 Pulgadas,58.6181024
Shanadu,Maceta|11 Pulgadas,73.1781024
Silver Dólar,BOLSA|10 Litros,83.54112
Singonio,Maceta|6 Pulgadas,51.3381024
Singonio,Maceta|5 Pulgadas,44.0581024
Singonio,Maceta|4 Pulgadas,36.7781024
Teléfono ,Maceta|6 Pulgadas,44.0581024
Tulia Verde Tuya,bolsa|12 Litros,76.26112
Tulipán,Bolsa|8 Litros,83.54112
Velo de Novia ,Bolsa|10 Litros,90.82112
Yuca,BOLSA|14 Litros,134.50112